Identifier	Character	Dialogue	Filename	Line Number
guest_party_showcase_20ad63f5	"[guest_name]"	[guest_dialogue]	game/chat_select.rpy	741
guest_info_0967ba45	who	[what]	game/email_system.rpy	814
voicemail_1_db22a139	vmail_phone	The person you have called is unavailable right now. Please leave a message at the tone or try again.	game/phonecall_system.rpy	722
start_c2ba5583	u	Oh! You picked up; I'm so relieved.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	20
start_5fa57d63	u	I thought maybe you wouldn't since my number wouldn't be listed in your phone.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	20
start_897d64e4	u	I'm calling because I was hoping you could help me test a new app I made. What do you think?	game/tutorial_day_scripts/tutorial_0_introduction.rpy	20
start_11fdb519	extend		game/tutorial_day_scripts/tutorial_0_introduction.rpy	29
start_4daf8153	m	Testing? What would I need to do?	game/tutorial_day_scripts/tutorial_0_introduction.rpy	32
start_ad4dea99	m	Sounds like a lot of work.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	34
start_cbeed9aa	u	Oh, it's not bad, I promise!	game/tutorial_day_scripts/tutorial_0_introduction.rpy	35
start_c7dd695c	m	I've actually already seen this; can you take me to the home screen?	game/tutorial_day_scripts/tutorial_0_introduction.rpy	37
start_f4b89b4a	u	Oh, sure! See you later~	game/tutorial_day_scripts/tutorial_0_introduction.rpy	38
start_f81b62f5	u	All you have to do is use the app, and then you let me know if you run into problems or bugs.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	48
start_d2167af7	u	It'll help me make a much better program, in the end.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	48
start_4003da4c	u	You only need to use it as much as you have time for. And in return you get to test out my program earlier than anyone else!	game/tutorial_day_scripts/tutorial_0_introduction.rpy	48
start_2b355d08	u	So what do you say?	game/tutorial_day_scripts/tutorial_0_introduction.rpy	48
start_11fdb519_1	extend		game/tutorial_day_scripts/tutorial_0_introduction.rpy	60
start_8552f0f2	m	I suppose I'll give it a shot.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	63
start_62d354ca	u	You will? Wonderful!	game/tutorial_day_scripts/tutorial_0_introduction.rpy	65
start_739fca37	u	I also wanted to ask -- how do you feel about short flashing animations?	game/tutorial_day_scripts/tutorial_0_introduction.rpy	65
start_260b17cc	u	Sometimes the program has animations like the scrolling hacked code effect, or banners in the chatrooms. There is also a screen shake animation.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	65
start_11fdb519_2	extend		game/tutorial_day_scripts/tutorial_0_introduction.rpy	75
start_01912e99	m	I don't want to see any flashing animations or screenshake.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	81
start_f6816c24	u	Understandable! I've turned all those animations off for you.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	82
start_b96632be	m	I'm okay with some effects but not with others.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	86
start_7bf00691	u	Okay! I've just turned the hacking effect off for now since it shows up in the next chatroom.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	87
